ad_typology_Value,ad_price,ad_area,ad_builttype_Value,ad_roomnumber,ad_bathnumber,ad_haslift,ad_hasswimmingpool,ad_hasheating,ad_hasterrace,ad_hasparkingspace,ad_hasairconditioning,ad_hasgarden,ad_district_Eixample,ad_district_Gràcia,ad_district_Horta Guinardó,ad_district_Les Corts,ad_district_Nou Barris,ad_district_Sant Andreu,ad_district_Sant Martí,ad_district_Sants-Montjuïc,ad_district_Sarrià-Sant Gervasi
0,193000,72,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,100200,45,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,229000,55,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,358000,85,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,189000,60,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,295000,70,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,275000,75,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,295000,73,1,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,460000,80,2,4,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,167000,67,1,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,210000,85,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
0,270000,86,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,280000,85,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,372750,55,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,450000,98,1,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,260000,67,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,245000,69,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,289000,82,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,305000,61,2,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,298000,75,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,99000,54,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,220000,80,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,210000,90,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,118500,64,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,240000,45,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,249000,79,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
